#id_node              x              y              z
159          -12.499999     -50.000000     -45.669873
160          -12.500000     -45.669873     -50.000000
161           -7.500000     -45.669873     -50.000000
162           -7.500000     -50.000000     -45.669873
163           10.000000     -50.000000     -50.000000
164            5.000000     -50.000000     -50.000000
165           -0.000000     -50.000000     -50.000000
166          -50.000000      50.000000     -50.000000
167          -50.000000      25.000000     -50.000000
168          -50.000000       5.000000     -50.000000
169          -50.000000      -7.500000     -45.669873
170          -45.718969      -7.500000     -50.000000
171          -50.000000       0.000000     -50.000000
172          -50.000000      -2.500000     -45.669873
173          -45.669873      -2.500000     -50.000000
174          -50.000000      10.000000     -50.000000
175          -50.000000      15.000000     -50.000000
176          -32.751023     -19.826299     -50.000000
177          -38.417408     -21.504151     -44.476654
178          -37.222646     -17.433522     -50.000000
179          -41.634322     -10.000000     -50.000000
180          -37.118318     -11.868580     -50.000000
181          -50.000000     -20.000000     -32.679492
182          -50.000000     -22.500000     -28.349365
183          -50.000000     -10.000000     -41.339746
184          -44.574716     -20.533563     -37.496240
185          -50.000000     -17.500000     -37.009619
186          -50.000000     -12.500000     -37.009619
187          -50.000000     -15.000000     -32.679492
188          -50.000000      40.000000     -50.000000
189          -50.000000      45.000000     -50.000000
190          -41.778704      -4.993705     -50.000000
191          -38.612159      -7.500000     -50.000000
192          -33.968305     -14.912021     -50.000000
193          -29.808134     -15.299206     -50.000000
194          -32.381950     -11.116318     -50.000000
195          -37.272413      -2.500000     -50.000000
196          -50.000000     -50.000000      10.000000
197          -18.119409     -40.275968     -44.883810
198          -19.999561     -50.000000     -32.679238
199          -17.499841     -50.000000     -37.009527
200          -13.801296     -43.534539     -43.627125
201          -17.670691     -45.514311     -41.028757
202          -12.499974     -50.000000     -37.009604
203          -14.999950     -50.000000     -41.339717
204           -9.999996     -50.000000     -41.339743
205           50.000000     -50.000000     -50.000000
206            2.500000     -45.669873     -50.000000
207            2.500000     -50.000000     -45.669873
208            7.500000     -45.669873     -50.000000
209           12.500000     -50.000000     -45.669873
210           12.500000     -45.669873     -50.000000
211           -2.500000     -45.669873     -50.000000
212           -2.500000     -50.000000     -45.669873
213           -5.000000     -41.339746     -50.000000
214            0.000000     -41.339746     -50.000000
215           40.000000     -50.000000     -50.000000
216           25.000000     -50.000000     -50.000000
217           35.000000     -50.000000     -50.000000
218           17.500000     -50.000000     -45.669873
219           20.000000     -50.000000     -50.000000
220           17.500000     -45.669873     -50.000000
221           45.000000     -50.000000     -50.000000
222           30.000000     -50.000000     -50.000000
223           -7.500000     -37.009619     -50.000000
224           -2.500000     -37.009619     -50.000000
225          -50.000000      35.000000     -50.000000
226          -43.906132     -12.318819     -43.906132
227          -41.535707     -17.707750     -41.535619
228          -45.580273     -13.642584     -39.345671
229          -39.163614     -14.508707     -45.130982
230          -50.000000      -5.000000     -41.339746
231          -50.000000      -7.500000     -37.009619
232          -50.000000      -2.500000     -37.009619
233          -50.000000      -5.000000     -32.679492
234          -50.000000     -10.000000     -32.679492
235          -50.000000     -50.000000      15.000000
236          -50.000000     -50.000000      20.000000
237          -50.000000     -50.000000      25.000000
238          -50.000000     -50.000000      35.000000
239          -50.000000     -50.000000      40.000000
240          -50.000000     -50.000000      45.000000
241          -50.000000     -50.000000      50.000000
242          -12.149772     -38.260433     -44.549551
243          -20.878503     -34.921557     -45.131633
244          -17.503152     -37.012688     -50.000000
245          -20.018914     -32.697904     -50.000000
246          -15.003678     -32.683072     -50.000000
247          -22.499997     -28.349367     -50.000000
248          -17.503865     -28.353131     -50.000000
249          -27.429593     -19.705765     -50.000000
250          -50.000000     -27.500000     -28.349365
251          -44.601749     -44.599380     -25.906509
252          -45.299275     -50.000000     -23.064713
253          -40.107840     -50.000000     -23.749310
254          -50.000000     -45.281278     -23.127360
255          -50.000000     -41.961524     -20.000000
256          -50.000000     -40.009865     -23.969437
257          -50.000000     -37.410249     -19.740929
258          -44.863807     -30.003309     -29.062462
259          -44.696086     -36.419219     -30.453589
260          -50.000000     -34.985040     -24.027875
261          -50.000000     -29.997504     -24.020679
262          -50.000000     -32.503195     -28.337456
263          -50.000000     -50.000000      -5.000000
264          -50.000000     -50.000000     -10.000000
265          -45.669873     -50.000000     -17.500000
266          -50.000000     -45.669873     -17.500000
267          -41.915838     -50.000000     -19.829498
268          -50.000000     -45.595094     -12.554490
269          -45.595844     -50.000000     -12.550709
270          -41.417247     -41.396822     -30.516803
271          -38.987986     -44.934698     -26.152455
272          -43.597233     -38.662954     -25.170046
273          -35.022956     -50.000000     -23.939761
274          -27.484181     -50.000000     -28.340232
275          -29.978526     -50.000000     -24.006840
276          -40.704075     -50.000000     -15.208258
277          -37.500000     -50.000000     -19.689111
278          -36.500973     -44.064924     -21.177969
279          -14.999884     -50.000000     -32.679425
280          -17.499927     -50.000000     -28.349323
281          -20.000000     -50.000000     -24.019238
282          -25.000000     -50.000000     -24.019238
283          -50.000000     -32.499991     -19.689117
284          -50.000000     -45.669873       7.500000
285          -46.597490     -50.000000       7.271682
286          -50.000000     -46.665516      -2.500000
287          -46.665516     -50.000000      -2.500000
288          -45.450821     -50.000000       2.304916
289          -50.000000     -45.233268       2.197964
290          -50.000000     -41.797485       5.792827
291          -40.831427     -33.420648     -28.316290
292          -44.224513     -22.636363     -27.507626
293          -50.000000     -27.499993     -19.689116
294          -50.000000     -20.000000     -24.019238
295          -50.000000     -24.999583     -24.019479
296          -50.000000     -22.499920     -19.689158
297           -7.500000     -28.349365     -50.000000
298           -6.557984     -38.611653     -44.605660
299          -10.000000     -32.679492     -50.000000
300          -33.740898     -42.949775     -26.616563
301          -29.756935     -45.210702     -29.543481
302          -19.988059     -40.016350     -39.427446
303          -21.272321     -44.590896     -37.590908
304          -24.999253     -37.986068     -37.612183
305          -24.647047     -43.258052     -33.355659
306          -19.999951     -45.879237     -29.792543
307          -24.739913     -44.573616     -27.549938
308          -42.992097     -23.914854     -33.069099
309          -38.087770     -25.000000     -38.090062
310          -39.710979     -27.879004     -32.952566
311          -19.999992     -24.019243     -50.000000
312          -24.999991     -24.019243     -50.000000
313          -35.009218     -29.418787     -34.372538
314          -31.257324     -41.730685     -33.440777
315          -35.970609     -40.031565     -30.879647
316          -30.856747     -34.372484     -35.392843
317          -35.974317     -34.436329     -30.284017
318          -32.773760     -25.228689     -37.896567
319          -39.827629     -27.503360     -27.820403
320          -28.387862     -22.720619     -45.212967
321          -32.970397     -22.161406     -42.838296
322          -37.694704     -18.636030     -36.179232
323          -28.223962     -27.189503     -39.841557
324          -24.954139     -26.614224     -45.240894
325          -17.259122     -36.135955     -41.283277
326          -25.327723     -32.111938     -38.279493
327          -21.819170     -30.196264     -42.647427
328          -11.813605     -32.770621     -43.480180
329           -7.815572     -44.158875     -44.158875
330           -7.500000     -50.000000     -37.009619
331           -4.999999     -50.000000     -41.339746
332           -2.500000     -50.000000     -37.009619
333           -5.000000     -50.000000     -32.679492
334           -9.449662     -39.844152     -39.844152
335          -12.954072     -34.835973     -39.045880
336            7.500000     -50.000000     -45.669873
337            1.232772     -45.048773     -45.048773
338            5.000000     -50.000000     -41.339746
339           -0.000000     -50.000000     -41.339746
340            2.500000     -50.000000     -37.009619
341            0.000000     -32.679492     -50.000000
342          -50.000000      50.000000     -45.000000
343          -50.000000      50.000000     -40.000000
344          -46.737187      27.500000     -50.000000
345          -50.000000      27.499983     -45.669863
346          -50.000000      30.000000     -50.000000
347          -50.000000      46.339746     -46.339746
348          -46.339746      50.000000     -46.339746
349          -46.339746      46.339746     -50.000000
350          -45.000000      50.000000     -50.000000
351          -40.000000      50.000000     -50.000000
352          -42.697734      27.900548     -50.000000
353          -50.000000      22.500000     -45.669873
354          -45.030875      23.001726     -50.000000
355          -50.000000      20.000000     -50.000000
356          -40.393609      24.011110     -50.000000
357          -45.734856       2.517272     -50.000000
358          -45.534180       7.603630     -50.000000
359          -50.000000       7.500000     -45.669873
360          -50.000000       2.500000     -45.669873
361          -43.442888      -4.272902     -43.346886
362          -45.594114       0.000000     -45.594114
363          -50.000000       0.000000     -41.339746
364          -41.795838       4.971253     -50.000000
365          -41.764488       0.037773     -50.000000
366          -38.704704       2.709364     -50.000000
367          -50.000000       4.999999     -41.339746
368          -50.000000      12.499999     -45.669873
369          -45.612929      17.448490     -50.000000
370          -40.008697      19.325190     -50.000000
371          -45.669873      12.500000     -50.000000
372          -50.000000      17.500000     -45.669873
373          -50.000000      14.999950     -41.339717
374          -40.673575      10.268333     -50.000000
375          -41.890199      14.884269     -50.000000
376          -30.544595     -17.411800     -44.782816
377          -24.999779     -15.359112     -50.000000
378          -27.498771     -11.029567     -50.000000
379          -34.608952     -14.321953     -42.301227
380          -36.170540      -9.062248     -44.592047
381          -34.645540      -7.118200     -50.000000
382          -45.591347     -17.760096     -31.085950
383          -50.000000     -17.500000     -28.349365
384          -50.000000     -12.500000     -28.349365
385          -50.000000     -15.000000     -24.019238
386          -50.000000     -17.499998     -19.689112
387          -44.569627      -9.715657     -36.360584
388          -43.402912     -15.371355     -35.147653
389          -45.718074     -12.500000     -31.236116
390          -50.000000      -7.500000     -28.349365
391          -50.000000     -10.000000     -24.019238
392          -50.000000       0.000000     -32.679492
393          -45.557285      32.546010     -50.000000
394          -46.660999      37.443317     -50.000000
395          -50.000000      37.467771     -45.688481
396          -50.000000      42.306624     -45.781518
397          -45.394968      41.855605     -50.000000
398          -37.388395      -1.592401     -43.395332
399          -30.659578     -10.751262     -44.510900
400          -29.993678      -6.702380     -50.000000
401          -32.462069      -2.390502     -50.000000
402          -27.500000      -2.368603     -50.000000
403          -34.686254       2.045509     -50.000000
404          -37.178340       6.201016     -50.000000
405          -32.500000       6.291651     -50.000000
406          -45.113021     -50.000000      11.753174
407          -50.000000     -41.339746      10.000000
408          -50.000000     -45.669873      12.500000
409          -50.000000     -45.683258      17.476817
410          -10.000000     -50.000000     -32.679492
411          -12.500000     -50.000000     -28.349365
412          -16.108588     -42.509693     -37.263742
413          -10.600800     -44.480297     -36.441551
414           46.339746     -46.339746     -50.000000
415           50.000000     -45.000000     -50.000000
416           50.000000     -40.000000     -50.000000
417           50.000000     -46.339746     -46.339746
418           46.339746     -50.000000     -46.339746
419           50.000000     -50.000000     -45.000000
420           50.000000     -50.000000     -40.000000
421           50.000000     -50.000000     -35.000000
422            2.500000     -37.009619     -50.000000
423            5.000000     -41.339746     -50.000000
424           10.000000     -41.339746     -50.000000
425           15.000000     -41.339746     -50.000000
426            6.070011     -43.608726     -44.032078
427           10.000000     -50.000000     -41.339746
428           15.000000     -50.000000     -41.339746
429           12.405667     -43.906758     -43.906758
430           12.500000     -50.000000     -37.009619
431           -2.306569     -42.404974     -42.404974
432           -1.211291     -45.324310     -38.428355
433           -1.146100     -36.849961     -44.204711
434            2.643053     -39.991567     -42.379106
435           -7.500000     -50.000000     -28.349365
436           32.500000     -50.000000     -45.669873
437           42.306624     -50.000000     -45.781518
438           37.462399     -50.000000     -45.691582
439           42.306624     -45.781518     -50.000000
440           37.462399     -45.691582     -50.000000
441           20.000000     -50.000000     -41.339746
442           22.500000     -45.669873     -50.000000
443           27.500000     -50.000000     -45.669873
444           27.500000     -45.669873     -50.000000
445           22.500000     -50.000000     -45.669873
446           32.500000     -45.669873     -50.000000
447           19.956667     -45.115260     -45.115260
448           20.000000     -41.339746     -50.000000
449           25.000000     -41.339746     -50.000000
450           30.000000     -41.339746     -50.000000
451           44.426594     -45.313516     -45.313516
452           30.000000     -45.294833     -45.294833
453           25.000000     -50.000000     -41.339746
454           34.988362     -50.000000     -41.346465
455           30.000000     -50.000000     -41.339746
456           -5.000000     -32.679492     -50.000000
457           -2.500000     -28.349365     -50.000000
458           50.000000     -35.000000     -50.000000
459           12.500000     -37.009619     -50.000000
460            7.500000     -37.009619     -50.000000
461           15.000000     -32.679492     -50.000000
462           17.500000     -37.009619     -50.000000
463           20.000000     -32.679492     -50.000000
464           22.500000     -37.009619     -50.000000
465           27.500000     -50.000000     -37.009619
466           22.500000     -50.000000     -37.009619
467           15.000000     -50.000000     -32.679492
468           17.500000     -50.000000     -37.009619
469          -50.000000      24.999896     -41.339686
470          -50.000000      32.500000     -45.669873
471          -50.000000      29.997584     -41.339389
472          -50.000000      34.987317     -41.340899
473          -50.000000      27.498310     -37.006395
474          -45.344496      -0.045840     -38.479460
475          -50.000000       2.500000     -37.009619
476          -50.000000       9.999996     -41.339743
477          -50.000000       5.000000     -32.679492
478          -50.000000       7.500000     -37.009619
479          -50.000000      -2.500000     -28.349365
480          -50.000000      19.999888     -41.339681
481          -50.000000       2.500000     -28.349365
482          -50.000000       0.000000     -24.019238
483          -38.682626     -12.380632     -35.577942
484          -39.967107      -9.212115     -40.018807
485          -39.427257      -4.137294     -39.424869
486          -42.948030      -4.082623     -35.683321
487          -45.042303      -4.177498     -30.709123
488          -50.000000     -45.000000      50.000000
489          -50.000000     -40.000000      50.000000
490          -45.669873     -50.000000      17.500000
491          -45.678680     -50.000000      22.500146
492          -50.000000     -45.750180      22.360903
493          -50.000000     -45.002195      27.704714
494          -50.000000     -50.000000      30.000000
495          -45.679354     -50.000000      27.500404
496          -50.000000     -46.016985      32.792377
497          -50.000000     -46.124553      37.639284
498          -45.669873     -50.000000      32.500000
499          -45.688481     -50.000000      37.467771
500          -50.000000     -45.759180      42.508143
501          -50.000000     -46.339746      46.339746
502          -46.339746     -46.339746      50.000000
503          -46.339746     -50.000000      46.339746
504          -45.781518     -50.000000      42.306624
505          -45.000000     -50.000000      50.000000
506          -40.000000     -50.000000      50.000000
507          -41.383108     -50.000000      25.000471
508          -50.000000       7.500000     -28.349365
509          -41.361455     -50.000000      39.962399
510          -50.000000     -37.274947      12.403238
511          -22.499954     -19.689137     -50.000000
512          -16.853463     -30.991105     -45.031271
513          -12.500612     -28.349962     -50.000000
514          -14.999998     -24.019239     -50.000000
515          -18.705789     -25.311532     -45.124478
516          -17.499996     -19.689113     -50.000000
517          -19.999947     -15.359015     -50.000000
518          -22.499848     -16.122658     -44.535427
519          -14.999986     -15.358992     -50.000000
520          -24.998946      -6.699338     -50.000000
521          -22.499901     -11.028914     -50.000000
522          -17.499975     -11.028871     -50.000000
523          -19.999774      -6.698860     -50.000000
524           -5.000000     -24.019238     -50.000000
525           -9.999999     -24.019238     -50.000000
526          -12.499999     -19.689111     -50.000000
527           -7.500000     -19.689111     -50.000000
528          -10.000000     -15.358984     -50.000000
529          -50.000000     -34.999979     -15.358998
530          -50.000000     -37.381830     -10.960654
531          -45.257525     -27.740002     -24.329078
532          -45.024847     -31.453900     -18.923029
533          -42.373122     -42.379951     -20.120327
534          -50.000000     -40.697774     -15.240021
535          -43.749822     -36.432369     -18.773024
536          -43.124466     -32.491904     -23.586123
537          -45.232354     -50.000000      -7.098129
538          -50.000000     -45.232354      -7.098129
539          -50.000000     -41.781410     -10.510405
540          -41.762418     -50.000000     -10.501234
541          -42.483859     -50.000000      -2.384153
542          -37.498674     -50.000000      -2.369369
543          -42.831823     -44.256883     -13.110812
544          -37.381848     -50.000000     -10.960642
545          -39.897971     -50.000000      -6.688432
546          -34.990335     -50.000000      -6.695389
547          -50.000000     -39.921623       1.917680
