#iter   time                    x         y         z      curl_n  polarity     eig0_re     eig0_im     eig1_re     eig1_im  type
0       7.322257e-04     -20.1756  -49.1198  -50.0000     -0.0001      -1.0      0.0002      0.0000     -0.0001      0.0000  saddle
0       7.322257e-04      34.5086  -49.4920  -50.0000     -0.0000      -1.0     -0.0001      0.0000      0.0001      0.0000  saddle
0       7.322257e-04       9.1925   47.3941  -50.0000      0.0000      -1.0     -0.0001      0.0000     -0.0001      0.0000  sink
0       7.322257e-04       1.4146   49.9282  -50.0000      0.0000      -1.0      0.0001      0.0000     -0.0001      0.0000  saddle
0       7.322257e-04      -5.2807   48.5762  -50.0000     -0.0001      -1.0     -0.0000      0.0000     -0.0000     -0.0000  spiral sink
0       7.322257e-04     -28.4798   49.0903  -50.0000      0.0000      -1.0      0.0001      0.0000     -0.0000      0.0000  saddle
0       7.322257e-04      -4.1656   44.5103  -50.0000     -0.0001      -1.0     -0.0001      0.0000     -0.0001     -0.0000  spiral sink
0       7.322257e-04      18.0425   42.9568  -50.0000      0.0000      -1.0     -0.0000      0.0000      0.0001      0.0000  saddle
0       7.322257e-04     -43.9958  -28.7395  -50.0000      0.0001      -1.0     -0.0002      0.0000      0.0002      0.0000  saddle
0       7.322257e-04     -44.6215  -34.8969  -50.0000     -0.0000      -1.0      0.0002      0.0000     -0.0003      0.0000  saddle
0       7.322257e-04       6.2480  -17.9305  -50.0000      0.0001      -1.0      0.0001      0.0000     -0.0001      0.0000  saddle
0       7.322257e-04      -0.3411   -5.1871  -50.0000      0.0000      -1.0     -0.0000      0.0000      0.0001      0.0000  saddle
0       7.322257e-04      -1.5180   -7.9786  -50.0000      0.0000      -1.0      0.0001      0.0000     -0.0001      0.0000  saddle
0       7.322257e-04      -3.6102    0.6928  -50.0000      0.0001      -1.0      0.0000      0.0000      0.0000     -0.0000  spiral source
0       7.322257e-04       9.2445   16.6740  -50.0000     -0.0001      -1.0     -0.0001      0.0000      0.0000      0.0000  saddle
0       7.322257e-04       1.9145  -25.9780  -50.0000     -0.0000      -1.0     -0.0001      0.0000      0.0001      0.0000  saddle
0       7.322257e-04       3.8019  -27.9254  -50.0000      0.0000      -1.0     -0.0001      0.0000      0.0001      0.0000  saddle
0       7.322257e-04      19.4544  -20.5408  -50.0000      0.0000      -1.0     -0.0001      0.0000      0.0001      0.0000  saddle
0       7.322257e-04      26.1297   13.9260  -50.0000     -0.0000      -1.0      0.0001      0.0000     -0.0001      0.0000  saddle
0       7.322257e-04       7.3361   23.7995  -50.0000      0.0000      -1.0     -0.0001      0.0000      0.0000      0.0000  saddle
0       7.322257e-04     -16.0335   17.3388  -50.0000      0.0001      -1.0      0.0000      0.0000      0.0000     -0.0000  spiral source
0       7.322257e-04     -27.6387   18.8096  -50.0000      0.0001      -1.0     -0.0000      0.0001     -0.0000     -0.0001  spiral sink
0       7.322257e-04     -12.1100    4.3300  -50.0000     -0.0000      -1.0     -0.0001      0.0000      0.0001      0.0000  saddle
0       7.322257e-04      29.0166   -5.8637  -50.0000     -0.0001      -1.0      0.0001      0.0000      0.0001      0.0000  source
0       7.322257e-04      24.1443   -5.1653  -50.0000      0.0000      -1.0      0.0001      0.0000      0.0000      0.0000  source
0       7.322257e-04     -29.7967   31.1111  -50.0000      0.0000      -1.0      0.0001      0.0000     -0.0002      0.0000  saddle
0       7.322257e-04      19.7772   -1.0767  -50.0000     -0.0001      -1.0     -0.0001      0.0000      0.0001      0.0000  saddle
0       7.322257e-04       7.5062   36.4560  -50.0000      0.0000      -1.0      0.0001      0.0000      0.0001      0.0000  source
0       7.322257e-04     -31.2208   20.8362  -50.0000     -0.0001      -1.0     -0.0002      0.0000      0.0000      0.0000  saddle
0       7.322257e-04     -25.3229  -16.7954  -50.0000     -0.0000      -1.0     -0.0001      0.0000      0.0001      0.0000  saddle
